Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,P.6,K.6,P.7,K.7,Stage,Round,P.8,K.8,MP #
19,FNX,11,17,1,12,2,19,0,10,0,11,0,15,3,,,,,Round 2,Group Stage,,,
20,BRU,6,18,0,15,0,15,1,11,0,9,0,18,0,,,,,Round 2,Group Stage,,,
1,TSM,61,7,2,2,8,1,7,10,0,3,3,5,4,,,,,Round 3,Group Stage,,,
2,FUR,60,16,3,5,15,15,6,3,7,12,7,13,8,,,,,Round 3,Group Stage,,,
3,C9,58,17,0,1,6,5,2,1,6,4,5,8,4,,,,,Round 3,Group Stage,,,
4,OG,53,2,7,17,0,3,2,4,10,9,0,2,2,,,,,Round 3,Group Stage,,,
5,SNG,50,4,5,3,6,13,0,8,2,2,9,6,1,,,,,Round 3,Group Stage,,,
6,DF,47,1,20,16,6,9,6,11,0,20,0,20,0,,,,,Round 3,Group Stage,,,
7,E8,45,5,2,11,2,16,0,5,2,7,0,1,15,,,,,Round 3,Group Stage,,,
8,E6,43,6,5,8,1,6,6,2,3,17,3,9,6,,,,,Round 3,Group Stage,,,
9,GMT,35,11,1,19,0,2,10,13,9,18,1,12,2,,,,,Round 3,Group Stage,,,
10,IG,31,14,1,12,1,8,3,16,0,1,8,15,1,,,,,Round 3,Group Stage,,,
11,BRGR,30,3,6,10,0,10,1,18,0,13,1,4,5,,,,,Round 3,Group Stage,,,
12,PVX,29,9,1,15,0,7,3,9,2,5,3,3,1,,,,,Round 3,Group Stage,,,
13,ALL,20,19,0,18,0,18,0,7,6,6,2,7,3,,,,,Round 3,Group Stage,,,
14,LG,20,18,1,6,0,4,5,19,0,8,2,14,1,,,,,Round 3,Group Stage,,,
15,DNG,13,10,1,4,2,14,1,17,0,14,0,19,0,,,,,Round 3,Group Stage,,,
16,FNX,10,13,0,13,3,12,0,6,1,16,0,18,0,,,,,Round 3,Group Stage,,,
17,ODK,8,8,0,20,0,17,0,12,0,15,4,16,0,,,,,Round 3,Group Stage,,,
18,FSV,8,15,0,9,1,11,0,20,0,10,1,17,0,,,,,Round 3,Group Stage,,,
19,ORF,7,12,0,7,0,20,0,14,1,19,0,11,0,,,,,Round 3,Group Stage,,,
20,1IQ,5,20,0,14,0,19,0,15,0,11,0,10,0,,,,,Round 3,Group Stage,,,
1,TL,59,6,2,4,9,8,6,16,1,4,7,1,7,,,,,Round 4,Group Stage,,,
2,NRG,57,17,1,1,12,17,1,1,5,10,4,4,3,,,,,Round 4,Group Stage,,,
3,FAK,55,16,0,2,11,2,6,14,2,3,7,12,2,,,,,Round 4,Group Stage,,,
4,SZ,51,2,7,10,1,4,9,11,0,18,0,2,8,,,,,Round 4,Group Stage,,,
5,EXO,46,7,3,5,5,1,11,10,2,20,1,14,2,,,,,Round 4,Group Stage,,,
6,DZ,38,3,5,3,1,12,2,15,6,12,3,6,1,,,,,Round 4,Group Stage,,,
7,100T,38,12,0,7,4,7,3,8,2,1,7,11,0,,,,,Round 4,Group Stage,,,
8,FNC,34,15,0,11,1,10,1,3,7,5,5,9,3,,,,,Round 4,Group Stage,,,
9,ACE,31,4,7,13,4,20,0,5,1,6,4,18,2,,,,,Round 4,Group Stage,,,
10,ZETA,31,5,8,8,0,18,0,6,4,9,1,5,3,,,,,Round 4,Group Stage,,,
11,αD,31,1,8,18,0,5,3,18,0,14,0,17,3,,,,,Round 4,Group Stage,,,
12,GFR,29,8,0,12,0,3,3,20,0,7,3,7,7,,,,,Round 4,Group Stage,,,
13,STK,28,9,9,15,3,19,0,12,4,19,3,13,4,,,,,Round 4,Group Stage,,,
14,RC,28,10,2,20,0,14,3,7,6,15,0,3,3,,,,,Round 4,Group Stage,,,
15,AYM,24,19,0,17,0,6,4,19,3,16,2,8,10,,,,,Round 4,Group Stage,,,
16,BRU,21,20,0,14,0,11,0,4,5,2,0,20,0,,,,,Round 4,Group Stage,,,
17,SSG,20,11,0,6,3,15,0,9,5,13,3,15,0,,,,,Round 4,Group Stage,,,
18,FL,20,18,0,19,0,16,2,2,4,8,3,19,0,,,,,Round 4,Group Stage,,,
19,INF,13,13,3,9,0,9,0,13,3,17,1,16,0,,,,,Round 4,Group Stage,,,
20,CR,6,14,0,16,0,13,0,17,0,11,0,10,1,,,,,Round 4,Group Stage,,,
1,100T,78,3,2,5,3,1,6,3,7,5,5,1,9,,,,,Round 5,Group Stage,,,
2,ZETA,52,6,3,4,6,2,10,14,1,4,2,4,2,,,,,Round 5,Group Stage,,,
3,IG,47,8,6,9,2,16,2,19,0,2,14,3,3,,,,,Round 5,Group Stage,,,
4,αD,45,19,0,19,1,6,9,5,8,11,1,5,14,,,,,Round 5,Group Stage,,,
5,BRGR,44,2,8,13,1,5,2,6,5,8,6,6,0,,,,,Round 5,Group Stage,,,
6,TSM,41,1,7,14,3,11,0,8,4,6,4,9,2,,,,,Round 5,Group Stage,,,
7,CR,41,4,1,6,1,4,5,4,3,18,0,2,4,,,,,Round 5,Group Stage,,,
8,DZ,40,5,6,2,10,10,4,16,2,19,0,16,3,,,,,Round 5,Group Stage,,,
9,ALL,37,16,1,17,2,9,3,1,9,17,2,8,4,,,,,Round 5,Group Stage,,,
10,DF,37,7,5,18,1,8,1,13,0,1,6,13,5,,,,,Round 5,Group Stage,,,
11,SSG,36,12,2,16,0,3,4,2,5,12,6,14,0,,,,,Round 5,Group Stage,,,
12,OG,32,15,1,1,15,18,0,11,1,13,0,19,0,,,,,Round 5,Group Stage,,,
13,ACE,24,10,4,12,2,7,4,20,0,10,3,10,1,,,,,Round 5,Group Stage,,,
14,FSV,18,9,2,3,3,13,0,15,2,16,0,17,0,,,,,Round 5,Group Stage,,,
15,AYM,17,17,2,7,0,17,1,10,8,14,0,20,0,,,,,Round 5,Group Stage,,,
16,1IQ,16,13,1,10,0,19,1,12,0,15,1,7,5,,,,,Round 5,Group Stage,,,
17,DNG,16,20,0,11,1,12,0,7,0,3,2,11,0,,,,,Round 5,Group Stage,,,
18,ORF,9,18,1,8,1,15,0,17,0,9,1,12,0,,,,,Round 5,Group Stage,,,
19,FL,8,11,0,20,0,20,0,9,0,7,2,18,0,,,,,Round 5,Group Stage,,,
20,BRU,7,14,0,15,0,14,2,18,0,20,0,15,1,,,,,Round 5,Group Stage,,,
1,FUR,68,1,5,2,12,11,6,16,3,12,3,6,13,,,,,Round 6,Group Stage,,,
2,EXO,57,3,4,16,0,1,14,11,0,2,9,12,0,,,,,Round 6,Group Stage,,,
3,FNX,51,2,8,19,0,2,5,5,1,4,3,13,6,,,,,Round 6,Group Stage,,,
4,SNG,49,6,5,1,8,4,7,20,1,15,3,5,0,,,,,Round 6,Group Stage,,,
5,E6,48,5,7,17,1,19,0,17,0,1,12,2,3,,,,,Round 6,Group Stage,,,
6,NRG,46,8,5,12,3,3,3,3,3,5,5,7,3,,,,,Round 6,Group Stage,,,
7,LG,46,9,4,3,5,5,2,4,3,3,7,20,0,,,,,Round 6,Group Stage,,,
8,TL,38,12,0,8,4,9,2,8,0,13,2,1,10,,,,,Round 6,Group Stage,,,
9,C9,32,11,2,15,3,13,5,1,6,14,0,19,0,,,,,Round 6,Group Stage,,,
10,SZ,28,10,2,4,2,10,3,19,2,19,0,4,5,,,,,Round 6,Group Stage,,,
11,FNC,27,4,8,14,0,15,4,10,6,17,0,16,0,,,,,Round 6,Group Stage,,,
12,E8,27,15,3,7,3,6,2,9,4,10,3,14,0,,,,,Round 6,Group Stage,,,
13,STK,27,17,0,13,0,8,2,2,10,8,1,17,0,,,,,Round 6,Group Stage,,,
14,RC,19,18,0,5,2,16,0,7,6,11,0,15,2,,,,,Round 6,Group Stage,,,
15,INF,19,14,0,10,2,7,0,6,2,9,2,9,0,,,,,Round 6,Group Stage,,,
16,GFR,18,16,0,6,3,20,0,14,0,18,0,3,4,,,,,Round 6,Group Stage,,,
17,ODK,16,19,0,9,3,14,1,15,0,16,3,11,4,,,,,Round 6,Group Stage,,,
18,PVX,12,7,1,11,1,17,0,18,0,6,1,8,0,,,,,Round 6,Group Stage,,,
19,FAK,11,20,0,18,1,18,0,12,1,7,2,10,1,,,,,Round 6,Group Stage,,,
20,GMT,8,13,0,20,0,12,4,13,1,20,0,18,0,,,,,Round 6,Group Stage,,,
1,DZ,70,12,0,16,0,13,3,7,5,7,5,5,3,2,7,9,1,,Finals,1,6,8
2,FUR,85,15,2,1,15,17,0,16,3,2,13,9,5,11,10,15,2,,Finals,16,0,5
3,100T,75,14,0,3,5,2,7,12,0,3,6,7,1,1,13,20,0,,Finals,14,2,7
4,FNC,74,4,2,20,0,8,1,1,15,14,1,13,0,7,6,2,11,,Finals,10,3,8
5,GMT,69,1,9,4,5,5,6,14,2,10,0,8,1,4,7,19,0,,Finals,4,3,7
6,SSG,68,10,2,9,0,20,0,3,8,11,3,17,2,3,5,10,1,,Finals,2,9,8
7,TSM,64,7,9,7,2,14,0,2,3,4,0,11,0,9,0,8,5,,Finals,3,12,9
8,ALL,61,20,0,18,0,1,9,6,1,13,0,6,2,19,0,1,10,,Finals,7,5,8
9,NRG,55,3,8,13,1,4,5,20,0,18,0,4,3,8,1,11,2,,Finals,15,3,8
10,αD,54,6,7,2,6,12,0,15,0,9,6,16,4,10,0,6,1,,Finals,6,0,8
11,SZ,53,8,0,14,5,6,5,18,2,19,0,3,12,14,0,3,4,,Finals,12,3,9
12,TL,50,19,1,11,2,9,4,4,7,5,0,2,3,16,2,7,4,,Finals,9,1,9
13,EXO,48,16,0,17,0,18,0,9,5,17,0,1,12,6,6,12,0,,Finals,17,0,-
14,AYM,46,13,0,6,2,10,1,17,0,1,14,12,0,5,3,14,0,,Finals,11,1,-
15,C9,40,2,12,12,1,16,2,10,3,20,0,19,2,15,1,13,3,,Finals,18,0,-
16,OG,38,18,2,5,7,15,0,19,0,6,3,18,2,13,0,4,4,,Finals,5,2,-
17,BRGR,31,9,2,8,1,11,1,8,1,15,1,15,1,12,0,5,7,,Finals,20,0,-
18,ZETA,29,11,1,15,2,7,8,11,3,16,2,10,0,20,0,17,1,,Finals,8,1,-
19,IG,26,5,0,19,0,3,5,13,0,12,2,20,1,17,0,18,0,,Finals,13,0,-
20,ACE,16,17,0,10,3,19,0,5,0,8,2,14,0,18,0,16,0,,Finals,19,2,-
