Standings,OnlyResenha,77,77.1,Lobby,Keep Moving Fwd,43,43.1,New Age,68,68.1,Love Egirls,54,5,Round,Slav Animals,AIM,55,55.1,Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5
17.0,KDT - Amber,5.0,5.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
18.0,Live n Kill,3.0,3.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
19.0,Team Paragua,3.0,3.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
20.0,PVP,2.0,2.0,Lobby 1,,,,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
2.0,,,,Lobby 2,As Misera,43.0,43.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
3.0,,,,Lobby 2,BRZ,39.0,39.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
4.0,,,,Lobby 2,BHT,38.0,38.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
5.0,,,,Lobby 2,Natural Killer,38.0,38.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
6.0,,,,Lobby 2,Coquinha gelada,32.0,32.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
7.0,,,,Lobby 2,ZETTA,31.0,31.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
8.0,,,,Lobby 2,Blagueur,30.0,30.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
9.0,,,,Lobby 2,Pandora,27.0,27.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
10.0,,,,Lobby 2,Mystical,19.0,19.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
11.0,,,,Lobby 2,PiscoSour,17.0,17.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
12.0,,,,Lobby 2,2 And a Half Man,14.0,14.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
13.0,,,,Lobby 2,Sory,10.0,10.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
14.0,,,,Lobby 2,Fluxo Team,10.0,10.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
15.0,,,,Lobby 2,PoliShopu,9.0,9.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
16.0,,,,Lobby 2,Voy a Hacer,5.0,5.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
17.0,,,,Lobby 2,Tharsis,5.0,5.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
18.0,,,,Lobby 2,ICEBERGS,3.0,3.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
19.0,,,,Lobby 2,xKarma,1.0,1.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
20.0,,,,Lobby 2,EASY CLAP,0.0,0.0,,,,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
2.0,,,,Lobby 3,,,,OF,60.0,60.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
3.0,,,,Lobby 3,,,,AIM,58.0,58.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
4.0,,,,Lobby 3,,,,BTH,34.0,34.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
5.0,,,,Lobby 3,,,,TCS,26.0,26.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
6.0,,,,Lobby 3,,,,OMEGA,23.0,23.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
7.0,,,,Lobby 3,,,,Infinity Evo,18.0,18.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
8.0,,,,Lobby 3,,,,PTX,17.0,17.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
9.0,,,,Lobby 3,,,,LostSoulsDreamer,17.0,17.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
10.0,,,,Lobby 3,,,,Taichi Horror,16.0,16.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
11.0,,,,Lobby 3,,,,Svart Katze,16.0,16.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
12.0,,,,Lobby 3,,,,NOKID E-SPORTS,15.0,15.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
13.0,,,,Lobby 3,,,,ROCKETZ TEAM,14.0,14.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
14.0,,,,Lobby 3,,,,Teletubbies,14.0,14.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
15.0,,,,Lobby 3,,,,Vingadores Team,12.0,12.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
16.0,,,,Lobby 3,,,,Os MIAU,11.0,11.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
17.0,,,,Lobby 3,,,,KZN,9.0,9.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
18.0,,,,Lobby 3,,,,Los perro waton,8.0,8.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
19.0,,,,Lobby 3,,,,Yakuza,7.0,7.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
20.0,,,,Lobby 3,,,,EZPIKERS,0.0,0.0,,,,Quarterfinals,,,,,,,,,,,,,,,,,,,
2.0,,,,Lobby 4,,,,,,,ElemenT,46.0,46.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
3.0,,,,Lobby 4,,,,,,,SP,45.0,4.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
4.0,,,,Lobby 4,,,,,,,ZISKA,40.0,40.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
5.0,,,,Lobby 4,,,,,,,NÃO sei,33.0,33.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
6.0,,,,Lobby 4,,,,,,,AGCL,32.0,32.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
7.0,,,,Lobby 4,,,,,,,sFx,31.0,31.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
8.0,,,,Lobby 4,,,,,,,HU3HU3HU3BR,24.0,24.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
9.0,,,,Lobby 4,,,,,,,Inka Supremacy,19.0,19.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
10.0,,,,Lobby 4,,,,,,,Seven,17.0,17.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
11.0,,,,Lobby 4,,,,,,,1crack2crack,17.0,17.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
12.0,,,,Lobby 4,,,,,,,PATETEX,16.0,16.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
13.0,,,,Lobby 4,,,,,,,ZGravityEsports,16.0,16.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
14.0,,,,Lobby 4,,,,,,,KARMA K41,15.0,15.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
15.0,,,,Lobby 4,,,,,,,Spartan Warriors,12.0,12.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
16.0,,,,Lobby 4,,,,,,,KPS,8.0,8.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
17.0,,,,Lobby 4,,,,,,,Squad Sombra,7.0,7.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
18.0,,,,Lobby 4,,,,,,,OS KRACUDOS,6.0,6.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
19.0,,,,Lobby 4,,,,,,,BRATVA420Forever,4.0,4.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
20.0,,,,Lobby 4,,,,,,,SCAL,1.0,1.0,Quarterfinals,,,,,,,,,,,,,,,,,,,
2.0,,,,Lobby 1,,,,,,,,41.0,41.0,Semifinals,As Misera,,,,,,,,,,,,,,,,,,
3.0,,,,Lobby 1,,,,,,,,41.0,41.0,Semifinals,TK,,,,,,,,,,,,,,,,,,
4.0,,,,Lobby 1,,,,,,,,35.0,35.0,Semifinals,ZETTA,,,,,,,,,,,,,,,,,,
5.0,,,,Lobby 1,,,,,,,,34.0,34.0,Semifinals,USB,,,,,,,,,,,,,,,,,,
6.0,,,,Lobby 1,,,,,,,,31.0,31.0,Semifinals,Blagueur,,,,,,,,,,,,,,,,,,
7.0,,,,Lobby 1,,,,,,,,31.0,31.0,Semifinals,SLU,,,,,,,,,,,,,,,,,,
8.0,,,,Lobby 1,,,,,,,,28.0,28.0,Semifinals,Coquinha gelada,,,,,,,,,,,,,,,,,,
9.0,,,,Lobby 1,,,,,,,,25.0,25.0,Semifinals,CIA,,,,,,,,,,,,,,,,,,
10.0,,,,Lobby 1,,,,,,,,20.0,20.0,Semifinals,Pandora,,,,,,,,,,,,,,,,,,
11.0,,,,Lobby 1,,,,,,,,16.0,16.0,Semifinals,Duty calls,,,,,,,,,,,,,,,,,,
12.0,,,,Lobby 1,,,,,,,,15.0,15.0,Semifinals,BRZ,,,,,,,,,,,,,,,,,,
13.0,,,,Lobby 1,,,,,,,,14.0,14.0,Semifinals,Team Magestic,,,,,,,,,,,,,,,,,,
14.0,,,,Lobby 1,,,,,,,,13.0,13.0,Semifinals,Sobek,,,,,,,,,,,,,,,,,,
15.0,,,,Lobby 1,,,,,,,,12.0,12.0,Semifinals,UltiMaTuM,,,,,,,,,,,,,,,,,,
16.0,,,,Lobby 1,,,,,,,,10.0,10.0,Semifinals,BHT,,,,,,,,,,,,,,,,,,
17.0,,,,Lobby 1,,,,,,,,6.0,6.0,Semifinals,OnlyResenha,,,,,,,,,,,,,,,,,,
18.0,,,,Lobby 1,,,,,,,,6.0,6.0,Semifinals,Mystical,,,,,,,,,,,,,,,,,,
19.0,,,,Lobby 1,,,,,,,,5.0,5.0,Semifinals,Keep Moving Fwd,,,,,,,,,,,,,,,,,,
20.0,,,,Lobby 1,,,,,,,,0.0,0.0,Semifinals,Natural Killer,,,,,,,,,,,,,,,,,,
2.0,,,,Lobby 2,,,,,,,,,,Semifinals,,OF,51.0,51.0,,,,,,,,,,,,,,,
3.0,,,,Lobby 2,,,,,,,,,,Semifinals,,ElemenT,42.0,42.0,,,,,,,,,,,,,,,
4.0,,,,Lobby 2,,,,,,,,,,Semifinals,,TCS,42.0,42.0,,,,,,,,,,,,,,,
5.0,,,,Lobby 2,,,,,,,,,,Semifinals,,AGCL,35.0,35.0,,,,,,,,,,,,,,,
6.0,,,,Lobby 2,,,,,,,,,,Semifinals,,sFx,27.0,27.0,,,,,,,,,,,,,,,
7.0,,,,Lobby 2,,,,,,,,,,Semifinals,,SP,26.0,26.0,,,,,,,,,,,,,,,
8.0,,,,Lobby 2,,,,,,,,,,Semifinals,,Love Egirls,26.0,26.0,,,,,,,,,,,,,,,
9.0,,,,Lobby 2,,,,,,,,,,Semifinals,,BTH,26.0,26.0,,,,,,,,,,,,,,,
10.0,,,,Lobby 2,,,,,,,,,,Semifinals,,New Age,24.0,24.0,,,,,,,,,,,,,,,
11.0,,,,Lobby 2,,,,,,,,,,Semifinals,,PTX,23.0,23.0,,,,,,,,,,,,,,,
12.0,,,,Lobby 2,,,,,,,,,,Semifinals,,NÃO sei,16.0,16.0,,,,,,,,,,,,,,,
13.0,,,,Lobby 2,,,,,,,,,,Semifinals,,Infinity Evo,12.0,12.0,,,,,,,,,,,,,,,
14.0,,,,Lobby 2,,,,,,,,,,Semifinals,,1crack2crack,11.0,11.0,,,,,,,,,,,,,,,
15.0,,,,Lobby 2,,,,,,,,,,Semifinals,,OMEGA,6.0,6.0,,,,,,,,,,,,,,,
16.0,,,,Lobby 2,,,,,,,,,,Semifinals,,LostSoulsDreamer,5.0,5.0,,,,,,,,,,,,,,,
17.0,,,,Lobby 2,,,,,,,,,,Semifinals,,HU3HU3HU3BR,5.0,5.0,,,,,,,,,,,,,,,
18.0,,,,Lobby 2,,,,,,,,,,Semifinals,,Inka Supremacy,4.0,4.0,,,,,,,,,,,,,,,
19.0,,,,Lobby 2,,,,,,,,,,Semifinals,,ZISKA,4.0,4.0,,,,,,,,,,,,,,,
20.0,,,,Lobby 2,,,,,,,,,,Semifinals,,Svart Katze,2.0,2.0,,,,,,,,,,,,,,,
,,,,Lobby 1,,,,,,,,,,Finals,,,,,1.0,CIA,57.0,5.0,8.0,13.0,0.0,8.0,2.0,1.0,12.0,5.0,12.0,20.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,2.0,SLU,56.0,3.0,7.0,2.0,6.0,4.0,1.0,16.0,0.0,6.0,3.0,2.0,6.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,3.0,OF,49.0,10.0,4.0,15.0,2.0,10.0,2.0,3.0,11.0,2.0,7.0,14.0,1.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,4.0,ElemenT,45.0,6.0,3.0,17.0,0.0,1.0,9.0,11.0,1.0,3.0,4.0,9.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,5.0,USB,40.0,4.0,2.0,5.0,3.0,2.0,7.0,9.0,0.0,14.0,0.0,4.0,2.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,6.0,Coquinha gelada,39.0,18.0,0.0,12.0,1.0,6.0,8.0,5.0,7.0,4.0,4.0,5.0,2.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,7.0,Love Egirls,39.0,1.0,10.0,9.0,3.0,13.0,1.0,4.0,3.0,10.0,0.0,16.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,8.0,BTH,38.0,19.0,0.0,7.0,0.0,3.0,1.0,2.0,1.0,7.0,0.0,7.0,11.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,9.0,Blagueur,36.0,15.0,0.0,4.0,15.0,11.0,0.0,8.0,2.0,11.0,4.0,8.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,10.0,TK,35.0,2.0,11.0,16.0,0.0,20.0,0.0,19.0,1.0,12.0,8.0,13.0,4.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,11.0,AGCL,34.0,16.0,0.0,10.0,0.0,9.0,3.0,10.0,5.0,17.0,0.0,1.0,8.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,12.0,AIM,31.0,13.0,3.0,11.0,6.0,19.0,0.0,18.0,0.0,13.0,3.0,3.0,9.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,13.0,As Misera,30.0,9.0,0.0,1.0,7.0,12.0,1.0,7.0,2.0,8.0,0.0,19.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,14.0,New Age,29.0,11.0,1.0,3.0,11.0,15.0,3.0,17.0,1.0,18.0,0.0,12.0,3.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,15.0,Slav Animals,26.0,8.0,3.0,19.0,0.0,7.0,12.0,13.0,3.0,15.0,0.0,11.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,16.0,OnlyResenha,25.0,17.0,0.0,20.0,0.0,14.0,2.0,12.0,1.0,1.0,8.0,17.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,17.0,ZETTA,21.0,12.0,0.0,8.0,1.0,5.0,3.0,20.0,0.0,9.0,4.0,10.0,2.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,18.0,TCS,18.0,20.0,0.0,14.0,2.0,16.0,5.0,15.0,5.0,20.0,0.0,6.0,1.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,19.0,sFx,12.0,7.0,4.0,6.0,0.0,17.0,0.0,14.0,0.0,19.0,0.0,15.0,0.0
,,,,Lobby 1,,,,,,,,,,Finals,,,,,20.0,SP,9.0,14.0,0.0,18.0,0.0,18.0,0.0,6.0,0.0,16.0,2.0,18.0,3.0
