Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend
17.0,INX,18.0,19.0,0.0,10.0,1.0,11.0,0.0,3.0,2.0,9.0,3.0,20.0,0.0,Finals,Last_Chance_Qualifier_1,
18.0,OGL,16.0,16.0,1.0,14.0,3.0,17.0,0.0,13.0,0.0,7.0,5.0,11.0,0.0,Finals,Last_Chance_Qualifier_1,
19.0,MDYB,15.0,17.0,0.0,15.0,6.0,18.0,3.0,17.0,1.0,16.0,0.0,9.0,2.0,Finals,Last_Chance_Qualifier_1,
20.0,Sanity,10.0,20.0,0.0,12.0,3.0,12.0,0.0,6.0,2.0,20.0,0.0,18.0,0.0,Finals,Last_Chance_Qualifier_1,
1.0,MDYB,72.0,1.0,19.0,1.0,12.0,11.0,3.0,4.0,3.0,12.0,3.0,12.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
2.0,DRG,68.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,6.0,2.0,10.0,13.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
3.0,CHILL,53.0,12.0,0.0,6.0,6.0,2.0,3.0,2.0,4.0,8.0,0.0,4.0,11.0,Losers_Bracket,Last_Chance_Qualifier_1,
4.0,Sanity,43.0,9.0,1.0,5.0,6.0,6.0,1.0,12.0,0.0,5.0,3.0,1.0,6.0,Losers_Bracket,Last_Chance_Qualifier_1,
5.0,Bots,42.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,4.0,12.0,9.0,4.0,Losers_Bracket,Last_Chance_Qualifier_1,
6.0,Systematic,42.0,6.0,1.0,4.0,2.0,1.0,9.0,10.0,0.0,10.0,0.0,6.0,3.0,Losers_Bracket,Last_Chance_Qualifier_1,
7.0,ZeroTwo,35.0,7.0,0.0,12.0,0.0,5.0,4.0,7.0,1.0,1.0,6.0,11.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
8.0,INX,33.0,8.0,1.0,10.0,0.0,10.0,0.0,13.0,0.0,3.0,3.0,2.0,6.0,Losers_Bracket,Last_Chance_Qualifier_1,
9.0,AIC WIBU,33.0,11.0,0.0,3.0,1.0,7.0,0.0,3.0,4.0,6.0,0.0,3.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
10.0,KMF,30.0,4.0,4.0,11.0,0.0,9.0,6.0,6.0,3.0,13.0,0.0,7.0,2.0,Losers_Bracket,Last_Chance_Qualifier_1,
11.0,DYN,27.0,3.0,2.0,7.0,0.0,8.0,1.0,8.0,1.0,7.0,0.0,5.0,2.0,Losers_Bracket,Last_Chance_Qualifier_1,
12.0,Lowkey,27.0,2.0,2.0,9.0,0.0,3.0,3.0,11.0,0.0,11.0,0.0,8.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
13.0,PWLS,10.0,13.0,0.0,8.0,0.0,12.0,0.0,9.0,0.0,9.0,0.0,10.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
14.0,DREAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
15.0,DESI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
16.0,END2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
17.0,YFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
18.0,姐妹花,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_1,
1.0,YTS,100.0,1.0,14.0,16.0,0.0,2.0,14.0,1.0,11.0,1.0,15.0,13.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
2.0,JET,65.0,2.0,1.0,12.0,3.0,7.0,2.0,3.0,11.0,3.0,5.0,3.0,9.0,Winners_Bracket,Last_Chance_Qualifier_1,
3.0,DNZY,50.0,11.0,3.0,3.0,7.0,15.0,0.0,5.0,1.0,14.0,3.0,1.0,10.0,Winners_Bracket,Last_Chance_Qualifier_1,
4.0,ARENA,49.0,14.0,0.0,2.0,2.0,9.0,3.0,2.0,11.0,7.0,3.0,5.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
5.0,Horizon,46.0,15.0,0.0,1.0,15.0,8.0,9.0,14.0,0.0,11.0,3.0,15.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
6.0,AVG,35.0,13.0,3.0,15.0,0.0,1.0,7.0,8.0,0.0,4.0,0.0,10.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
7.0,HAKA,33.0,3.0,4.0,8.0,0.0,6.0,3.0,13.0,1.0,8.0,6.0,14.0,3.0,Winners_Bracket,Last_Chance_Qualifier_1,
8.0,Phantom,33.0,10.0,2.0,9.0,1.0,12.0,0.0,4.0,4.0,6.0,4.0,4.0,4.0,Winners_Bracket,Last_Chance_Qualifier_1,
9.0,RYU,29.0,4.0,9.0,7.0,5.0,14.0,0.0,6.0,1.0,15.0,0.0,11.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
10.0,OGL,28.0,16.0,0.0,11.0,0.0,3.0,3.0,11.0,0.0,5.0,0.0,2.0,3.0,Winners_Bracket,Last_Chance_Qualifier_1,
11.0,DRG,27.0,6.0,1.0,4.0,5.0,4.0,0.0,12.0,0.0,9.0,3.0,9.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
12.0,Lowkey,23.0,8.0,1.0,10.0,3.0,5.0,0.0,15.0,1.0,16.0,1.0,6.0,5.0,Winners_Bracket,Last_Chance_Qualifier_1,
13.0,DYN,22.0,7.0,0.0,5.0,1.0,13.0,0.0,16.0,0.0,2.0,3.0,12.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
14.0,PWLS,19.0,5.0,4.0,6.0,2.0,16.0,1.0,7.0,1.0,13.0,0.0,16.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
15.0,ZeroTwo,18.0,12.0,0.0,13.0,0.0,11.0,5.0,10.0,1.0,10.0,0.0,8.0,3.0,Winners_Bracket,Last_Chance_Qualifier_1,
16.0,Systematic,17.0,9.0,2.0,14.0,0.0,10.0,0.0,9.0,2.0,12.0,0.0,7.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
17.0,DREAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
18.0,DESI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
19.0,END2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
20.0,YFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
1.0,ATH,81.0,1.0,14.0,10.0,1.0,6.0,4.0,1.0,6.0,2.0,9.0,18.0,0.0,Finals,Last_Chance_Qualifier_2,
2.0,EXO,73.0,5.0,12.0,3.0,10.0,5.0,3.0,7.0,9.0,3.0,5.0,5.0,1.0,Finals,Last_Chance_Qualifier_2,
3.0,RNT,65.0,12.0,1.0,6.0,3.0,1.0,21.0,4.0,3.0,9.0,6.0,7.0,3.0,Finals,Last_Chance_Qualifier_2,
4.0,BRP,58.0,4.0,0.0,20.0,0.0,3.0,4.0,11.0,4.0,18.0,0.0,2.0,23.0,Finals,Last_Chance_Qualifier_2,
5.0,NXL,52.0,2.0,3.0,18.0,0.0,9.0,5.0,12.0,0.0,1.0,10.0,17.0,0.0,Finals,Last_Chance_Qualifier_2,
6.0,DEWA,45.0,3.0,6.0,1.0,15.0,18.0,0.0,13.0,0.0,17.0,3.0,13.0,0.0,Finals,Last_Chance_Qualifier_2,
7.0,DNZ,39.0,7.0,4.0,2.0,11.0,4.0,1.0,8.0,0.0,11.0,0.0,14.0,2.0,Finals,Last_Chance_Qualifier_2,
8.0,ANT,34.0,6.0,0.0,8.0,6.0,20.0,0.0,5.0,11.0,10.0,4.0,9.0,0.0,Finals,Last_Chance_Qualifier_2,
9.0,Horizon,32.0,15.0,0.0,17.0,0.0,16.0,3.0,9.0,11.0,4.0,5.0,8.0,3.0,Finals,Last_Chance_Qualifier_2,
10.0,Antiaa,32.0,14.0,1.0,11.0,0.0,8.0,3.0,16.0,0.0,14.0,4.0,1.0,7.0,Finals,Last_Chance_Qualifier_2,
11.0,ITR,31.0,20.0,0.0,9.0,2.0,12.0,0.0,3.0,7.0,7.0,5.0,15.0,2.0,Finals,Last_Chance_Qualifier_2,
12.0,X10C,29.0,16.0,2.0,4.0,5.0,10.0,4.0,14.0,1.0,16.0,0.0,3.0,2.0,Finals,Last_Chance_Qualifier_2,
13.0,PK,28.0,9.0,2.0,7.0,1.0,19.0,0.0,2.0,1.0,6.0,0.0,20.0,0.0,Finals,Last_Chance_Qualifier_2,
14.0,DML,24.0,8.0,6.0,16.0,0.0,7.0,1.0,19.0,0.0,5.0,1.0,4.0,2.0,Finals,Last_Chance_Qualifier_2,
15.0,NLN,23.0,17.0,3.0,15.0,0.0,14.0,3.0,15.0,1.0,8.0,3.0,12.0,1.0,Finals,Last_Chance_Qualifier_2,
16.0,AVG,22.0,18.0,3.0,19.0,0.0,2.0,1.0,18.0,0.0,15.0,3.0,10.0,3.0,Finals,Last_Chance_Qualifier_2,
17.0,SNG,22.0,13.0,2.0,13.0,3.0,15.0,0.0,10.0,2.0,12.0,1.0,6.0,2.0,Finals,Last_Chance_Qualifier_2,
18.0,EMM,18.0,11.0,0.0,5.0,0.0,17.0,0.0,17.0,0.0,19.0,0.0,16.0,5.0,Finals,Last_Chance_Qualifier_2,
19.0,AIC WIBU,14.0,19.0,1.0,14.0,2.0,13.0,2.0,6.0,0.0,13.0,0.0,11.0,2.0,Finals,Last_Chance_Qualifier_2,
20.0,MON,6.0,10.0,0.0,12.0,0.0,11.0,2.0,20.0,0.0,20.0,0.0,19.0,0.0,Finals,Last_Chance_Qualifier_2,
1.0,Phantom,81.0,7.0,0.0,1.0,16.0,10.0,0.0,2.0,11.0,4.0,0.0,2.0,14.0,Losers_Bracket,Last_Chance_Qualifier_2,
2.0,Antiaa,61.0,1.0,8.0,9.0,2.0,1.0,15.0,12.0,1.0,5.0,1.0,13.0,2.0,Losers_Bracket,Last_Chance_Qualifier_2,
3.0,AVG,56.0,12.0,2.0,12.0,1.0,9.0,9.0,10.0,5.0,1.0,15.0,5.0,2.0,Losers_Bracket,Last_Chance_Qualifier_2,
4.0,RYU,50.0,3.0,3.0,6.0,1.0,2.0,2.0,7.0,1.0,7.0,1.0,1.0,5.0,Losers_Bracket,Last_Chance_Qualifier_2,
5.0,WHIZ,38.0,10.0,3.0,11.0,0.0,3.0,1.0,1.0,10.0,14.0,0.0,15.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
6.0,MON,37.0,9.0,8.0,10.0,3.0,6.0,6.0,3.0,3.0,9.0,0.0,12.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
7.0,AIC WIBU,37.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,0.0,12.0,0.0,4.0,4.0,Losers_Bracket,Last_Chance_Qualifier_2,
8.0,WGG,36.0,6.0,1.0,2.0,9.0,11.0,1.0,9.0,1.0,6.0,3.0,11.0,2.0,Losers_Bracket,Last_Chance_Qualifier_2,
9.0,DEWA,36.0,5.0,6.0,14.0,0.0,5.0,2.0,13.0,3.0,2.0,3.0,7.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
10.0,CHILL,33.0,2.0,5.0,8.0,0.0,8.0,0.0,5.0,0.0,3.0,3.0,14.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
11.0,ARENA,32.0,13.0,0.0,3.0,9.0,15.0,1.0,6.0,6.0,15.0,0.0,8.0,1.0,Losers_Bracket,Last_Chance_Qualifier_2,
12.0,MBTN,24.0,15.0,1.0,15.0,0.0,13.0,0.0,8.0,2.0,8.0,4.0,3.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
13.0,MYTH,19.0,11.0,0.0,13.0,0.0,7.0,0.0,15.0,0.0,11.0,3.0,6.0,6.0,Losers_Bracket,Last_Chance_Qualifier_2,
14.0,ZeroTwo,19.0,8.0,3.0,7.0,0.0,14.0,2.0,14.0,0.0,13.0,3.0,9.0,1.0,Losers_Bracket,Last_Chance_Qualifier_2,
15.0,DRG,13.0,14.0,0.0,5.0,0.0,12.0,0.0,11.0,0.0,10.0,2.0,10.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
16.0,Bots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
17.0,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
18.0,JET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
19.0,OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
20.0,YTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
