Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend
1.0,WING,65.0,1.0,10.0,7.0,3.0,9.0,2.0,16.0,0.0,1.0,17.0,9.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
2.0,RDM,62.0,20.0,0.0,2.0,10.0,2.0,0.0,17.0,2.0,6.0,6.0,1.0,11.0,Winners_Bracket,Last_Chance_Qualifier_1,
3.0,HCH,61.0,12.0,4.0,17.0,1.0,1.0,14.0,6.0,7.0,18.0,1.0,2.0,9.0,Winners_Bracket,Last_Chance_Qualifier_1,
4.0,TRP,58.0,3.0,12.0,12.0,4.0,6.0,6.0,3.0,11.0,13.0,5.0,11.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
5.0,WASH,56.0,16.0,3.0,20.0,0.0,19.0,0.0,1.0,18.0,2.0,3.0,6.0,8.0,Winners_Bracket,Last_Chance_Qualifier_1,
6.0,TPM,43.0,19.0,0.0,13.0,4.0,7.0,4.0,12.0,2.0,3.0,10.0,5.0,7.0,Winners_Bracket,Last_Chance_Qualifier_1,
7.0,AST,42.0,6.0,2.0,1.0,6.0,5.0,4.0,19.0,0.0,15.0,0.0,3.0,3.0,Winners_Bracket,Last_Chance_Qualifier_1,
8.0,CAS,35.0,7.0,5.0,4.0,5.0,15.0,2.0,15.0,0.0,4.0,6.0,10.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
9.0,HVND,33.0,2.0,1.0,10.0,2.0,4.0,10.0,13.0,2.0,12.0,0.0,18.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
10.0,SHEESH,29.0,9.0,0.0,8.0,6.0,12.0,3.0,2.0,4.0,14.0,1.0,20.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
11.0,CDE,26.0,4.0,2.0,3.0,3.0,13.0,3.0,18.0,2.0,20.0,0.0,14.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
12.0,AE,26.0,17.0,0.0,9.0,4.0,3.0,3.0,4.0,0.0,17.0,0.0,4.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
13.0,North,22.0,5.0,2.0,11.0,2.0,8.0,4.0,20.0,1.0,9.0,1.0,15.0,2.0,Winners_Bracket,Last_Chance_Qualifier_1,
14.0,SSU,21.0,14.0,4.0,19.0,0.0,20.0,0.0,7.0,1.0,10.0,0.0,7.0,7.0,Winners_Bracket,Last_Chance_Qualifier_1,
15.0,LVG,19.0,15.0,5.0,15.0,1.0,16.0,0.0,5.0,1.0,11.0,1.0,13.0,3.0,Winners_Bracket,Last_Chance_Qualifier_1,
16.0,TDG,19.0,13.0,0.0,5.0,3.0,14.0,0.0,8.0,3.0,5.0,1.0,17.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
17.0,OA,17.0,11.0,1.0,6.0,4.0,10.0,0.0,10.0,2.0,19.0,0.0,12.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
18.0,Cerberus,14.0,18.0,0.0,18.0,0.0,11.0,0.0,14.0,0.0,7.0,6.0,8.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
19.0,ASUR,11.0,8.0,2.0,14.0,1.0,17.0,3.0,11.0,0.0,16.0,0.0,16.0,1.0,Winners_Bracket,Last_Chance_Qualifier_1,
20.0,CIMJ,11.0,10.0,3.0,16.0,0.0,18.0,0.0,9.0,2.0,8.0,0.0,19.0,0.0,Winners_Bracket,Last_Chance_Qualifier_1,
1.0,FUR,73.0,15.0,1.0,19.0,3.0,2.0,6.0,2.0,9.0,1.0,8.0,4.0,0.0,Finals,Last_Chance_Qualifier_2,
2.0,E8,71.0,9.0,7.0,8.0,5.0,6.0,0.0,1.0,7.0,8.0,2.0,1.0,16.0,Finals,Last_Chance_Qualifier_2,
3.0,HCH,71.0,2.0,6.0,4.0,3.0,1.0,10.0,6.0,1.0,6.0,7.0,5.0,1.0,Finals,Last_Chance_Qualifier_2,
4.0,SEN,52.0,1.0,4.0,3.0,8.0,17.0,0.0,13.0,0.0,2.0,7.0,13.0,3.0,Finals,Last_Chance_Qualifier_2,
5.0,UNL,50.0,4.0,0.0,2.0,7.0,3.0,8.0,16.0,2.0,7.0,1.0,17.0,0.0,Finals,Last_Chance_Qualifier_2,
6.0,G2,43.0,12.0,3.0,13.0,5.0,7.0,12.0,3.0,4.0,15.0,0.0,9.0,4.0,Finals,Last_Chance_Qualifier_2,
7.0,GFORCE,43.0,6.0,8.0,1.0,10.0,18.0,1.0,11.0,3.0,16.0,0.0,11.0,4.0,Finals,Last_Chance_Qualifier_2,
8.0,RNG,43.0,8.0,4.0,12.0,0.0,11.0,2.0,8.0,7.0,12.0,5.0,3.0,5.0,Finals,Last_Chance_Qualifier_2,
9.0,COL,31.0,11.0,3.0,6.0,2.0,12.0,0.0,9.0,2.0,14.0,0.0,2.0,7.0,Finals,Last_Chance_Qualifier_2,
10.0,TRP,30.0,17.0,1.0,20.0,0.0,15.0,0.0,4.0,13.0,17.0,3.0,18.0,3.0,Finals,Last_Chance_Qualifier_2,
11.0,TOR,30.0,5.0,3.0,11.0,0.0,4.0,1.0,10.0,1.0,13.0,5.0,12.0,3.0,Finals,Last_Chance_Qualifier_2,
12.0,DY,29.0,16.0,0.0,7.0,3.0,5.0,2.0,12.0,0.0,11.0,0.0,15.0,5.0,Finals,Last_Chance_Qualifier_2,
13.0,FA,28.0,14.0,2.0,17.0,0.0,10.0,4.0,15.0,0.0,3.0,3.0,10.0,4.0,Finals,Last_Chance_Qualifier_2,
14.0,XSET,26.0,3.0,3.0,15.0,0.0,16.0,1.0,19.0,0.0,4.0,6.0,14.0,2.0,Finals,Last_Chance_Qualifier_2,
15.0,NM,25.0,7.0,4.0,16.0,0.0,8.0,3.0,7.0,2.0,10.0,3.0,7.0,0.0,Finals,Last_Chance_Qualifier_2,
16.0,SHEESH,21.0,18.0,0.0,10.0,0.0,14.0,3.0,5.0,0.0,5.0,4.0,6.0,0.0,Finals,Last_Chance_Qualifier_2,
17.0,LZR,15.0,10.0,5.0,18.0,0.0,13.0,2.0,14.0,4.0,18.0,0.0,19.0,0.0,Finals,Last_Chance_Qualifier_2,
18.0,CLT,15.0,19.0,0.0,14.0,2.0,20.0,0.0,17.0,2.0,19.0,0.0,8.0,3.0,Finals,Last_Chance_Qualifier_2,
19.0,SUP,14.0,13.0,0.0,5.0,6.0,19.0,1.0,20.0,0.0,9.0,0.0,16.0,0.0,Finals,Last_Chance_Qualifier_2,
20.0,CAS,9.0,20.0,1.0,9.0,0.0,9.0,4.0,18.0,0.0,20.0,0.0,20.0,0.0,Finals,Last_Chance_Qualifier_2,
1.0,NM,61.0,15.0,2.0,18.0,0.0,1.0,10.0,13.0,0.0,1.0,6.0,2.0,8.0,Losers_Bracket,Last_Chance_Qualifier_2,
2.0,GFORCE,55.0,18.0,0.0,9.0,3.0,15.0,8.0,1.0,18.0,10.0,9.0,20.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
3.0,LZR,53.0,5.0,7.0,19.0,3.0,14.0,0.0,2.0,8.0,3.0,4.0,4.0,5.0,Losers_Bracket,Last_Chance_Qualifier_2,
4.0,WING,52.0,8.0,4.0,15.0,0.0,3.0,7.0,5.0,4.0,9.0,3.0,1.0,6.0,Losers_Bracket,Last_Chance_Qualifier_2,
5.0,TPM,41.0,2.0,6.0,8.0,8.0,11.0,3.0,12.0,0.0,4.0,3.0,17.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
6.0,SHEESH,40.0,6.0,1.0,1.0,11.0,8.0,3.0,14.0,3.0,7.0,0.0,15.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
7.0,CAS,38.0,9.0,0.0,11.0,2.0,16.0,1.0,4.0,7.0,2.0,11.0,18.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
8.0,SUP,36.0,16.0,5.0,14.0,2.0,2.0,6.0,6.0,3.0,11.0,2.0,13.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
9.0,COL,36.0,1.0,11.0,12.0,0.0,13.0,3.0,16.0,0.0,17.0,0.0,10.0,6.0,Losers_Bracket,Last_Chance_Qualifier_2,
10.0,ASUR,35.0,10.0,0.0,2.0,10.0,4.0,7.0,18.0,0.0,18.0,0.0,12.0,1.0,Losers_Bracket,Last_Chance_Qualifier_2,
11.0,CLG,34.0,4.0,0.0,13.0,0.0,6.0,3.0,15.0,4.0,5.0,4.0,3.0,2.0,Losers_Bracket,Last_Chance_Qualifier_2,
12.0,OXG,32.0,3.0,6.0,6.0,4.0,10.0,0.0,19.0,0.0,13.0,4.0,9.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
13.0,SDO,28.0,19.0,2.0,3.0,3.0,9.0,0.0,8.0,1.0,14.0,3.0,5.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
14.0,DXT,23.0,20.0,1.0,20.0,0.0,20.0,0.0,7.0,6.0,6.0,1.0,6.0,6.0,Losers_Bracket,Last_Chance_Qualifier_2,
15.0,CCE UCX,21.0,7.0,3.0,10.0,0.0,12.0,3.0,9.0,0.0,16.0,2.0,7.0,2.0,Losers_Bracket,Last_Chance_Qualifier_2,
16.0,5FT12IN,20.0,14.0,3.0,7.0,0.0,17.0,1.0,3.0,0.0,15.0,0.0,8.0,2.0,Losers_Bracket,Last_Chance_Qualifier_2,
17.0,VOID,19.0,12.0,5.0,17.0,0.0,7.0,1.0,10.0,1.0,8.0,2.0,14.0,1.0,Losers_Bracket,Last_Chance_Qualifier_2,
18.0,RCO,19.0,13.0,0.0,4.0,3.0,5.0,2.0,17.0,2.0,19.0,0.0,11.0,1.0,Losers_Bracket,Last_Chance_Qualifier_2,
19.0,WASH,16.0,11.0,0.0,5.0,8.0,18.0,0.0,20.0,0.0,20.0,0.0,19.0,3.0,Losers_Bracket,Last_Chance_Qualifier_2,
20.0,AST,7.0,17.0,2.0,16.0,0.0,19.0,0.0,11.0,0.0,12.0,3.0,16.0,0.0,Losers_Bracket,Last_Chance_Qualifier_2,
