Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Split
REAH,36,7,2,14,3,7,6,6,0,2,5,11,0,Round 3,Split_2
YOG,36,14,0,17,0,5,0,11,3,3,4,2,7,Round 3,Split_2
FAV,33,11,2,1,5,16,0,15,1,6,4,9,2,Round 3,Split_2
RXC,27,20,0,15,3,9,8,10,2,20,1,8,6,Round 3,Split_2
FSV,24,8,0,3,8,15,0,20,0,15,0,10,3,Round 3,Split_2
ORF,24,16,1,5,2,11,3,7,2,11,1,4,1,Round 3,Split_2
LDN,20,18,0,6,4,18,0,4,5,12,1,13,0,Round 3,Split_2
RPG,17,12,0,18,0,10,4,14,3,8,4,18,0,Round 3,Split_2
DAI,15,15,0,20,0,17,0,17,0,9,4,6,5,Round 3,Split_2
LAG,13,6,4,11,2,14,0,16,0,17,1,12,0,Round 3,Split_2
UC,13,19,0,13,3,13,3,13,0,5,0,19,0,Round 3,Split_2
LFTW,11,13,6,12,2,20,0,18,0,18,1,17,0,Round 3,Split_2
AVA,10,4,1,10,0,8,0,19,0,19,0,20,0,Round 3,Split_2
FL,73,11,1,9,8,8,4,5,7,1,13,1,7,Round 4,Split_2
DTN,49,15,0,6,3,1,11,12,3,13,4,5,6,Round 4,Split_2
CR,48,8,3,1,13,12,0,8,4,17,1,7,7,Round 4,Split_2
Flora,46,17,2,8,6,13,1,4,5,14,2,3,14,Round 4,Split_2
RZ,46,3,7,12,0,6,7,6,5,3,3,11,2,Round 4,Split_2
V3,44,19,0,5,0,2,8,2,7,5,2,16,1,Round 4,Split_2
GW,43,1,10,13,0,3,8,16,0,15,2,9,0,Round 4,Split_2
NTH,42,2,1,3,3,5,4,7,1,4,4,14,0,Round 4,Split_2
QF,39,18,0,4,3,11,4,1,8,8,1,12,2,Round 4,Split_2
MTR,32,7,6,11,3,19,0,18,0,2,10,18,0,Round 4,Split_2
TW,32,4,5,19,0,20,0,10,0,16,4,2,7,Round 4,Split_2
BEXT,25,10,7,16,0,4,6,20,0,9,3,19,0,Round 4,Split_2
RID,25,13,3,2,8,7,1,19,0,19,0,20,0,Round 4,Split_2
IGZ,25,14,1,14,0,10,1,3,5,7,1,8,1,Round 4,Split_2
FLCO,23,6,1,20,0,14,3,15,2,11,3,4,3,Round 4,Split_2
RUG,21,20,0,17,4,9,2,9,4,6,4,17,0,Round 4,Split_2
USG,21,12,1,7,1,15,1,14,2,12,0,13,8,Round 4,Split_2
CAG,13,5,1,10,0,16,0,11,0,10,0,6,0,Round 4,Split_2
ALV,12,9,1,15,0,17,1,13,3,20,0,10,1,Round 4,Split_2
D4RK,6,16,3,18,0,18,0,17,2,18,0,15,0,Round 4,Split_2
LFTW,93,7,4,2,11,1,10,1,9,1,9,12,1,Round 5,Split_2
FAK,52,1,12,3,7,17,0,8,7,16,3,13,1,Round 5,Split_2
IGZ,51,3,5,1,10,10,3,14,0,10,0,4,4,Round 5,Split_2
UNI,49,4,1,7,8,16,0,3,3,15,2,2,10,Round 5,Split_2
CR,43,20,0,18,0,11,2,4,11,17,0,1,12,Round 5,Split_2
RIG-N,42,11,3,17,0,14,1,2,10,2,7,15,0,Round 5,Split_2
DTN,35,19,3,13,0,5,10,16,0,4,7,10,3,Round 5,Split_2
CAG,35,2,12,16,2,19,0,13,1,5,3,16,3,Round 5,Split_2
FL,33,15,0,11,3,8,6,19,2,6,3,3,5,Round 5,Split_2
RC,29,9,3,4,3,15,4,9,4,9,3,19,0,Round 5,Split_2
LDN,29,8,4,6,4,12,0,5,2,12,2,5,2,Round 5,Split_2
FLCO,26,14,0,8,2,3,5,20,0,7,5,17,1,Round 5,Split_2
RZ,24,10,1,15,0,2,4,12,0,8,0,18,4,Round 5,Split_2
USG,21,5,3,10,2,6,5,15,0,19,0,14,0,Round 5,Split_2
V3,20,6,2,12,1,18,0,6,0,13,1,6,5,Round 5,Split_2
UC,18,12,2,19,0,9,0,7,5,14,0,8,2,Round 5,Split_2
NTH,17,13,0,9,2,20,0,11,0,3,0,9,2,Round 5,Split_2
RPG,14,17,0,5,2,13,0,10,1,11,1,11,1,Round 5,Split_2
RXC,11,16,0,20,0,7,7,18,0,20,0,20,1,Round 5,Split_2
AVA,11,18,0,14,0,4,0,17,1,18,0,7,1,Round 5,Split_2
αDR,87,1,11,2,5,6,2,1,12,4,5,4,6,Round 6,Split_2
FCD,70,16,4,18,4,7,8,9,5,2,12,1,11,Round 6,Split_2
FSV,65,13,2,1,12,2,9,12,3,8,6,8,6,Round 6,Split_2
Flora,50,4,10,14,1,5,7,2,5,19,0,3,1,Round 6,Split_2
GW,49,2,4,4,8,14,1,5,2,9,3,7,7,Round 6,Split_2
RID,47,9,7,8,4,1,6,3,2,6,2,19,0,Round 6,Split_2
LAG,37,11,1,3,5,20,0,4,3,15,1,2,4,Round 6,Split_2
GTS,33,5,0,12,3,8,4,16,3,1,4,18,0,Round 6,Split_2
BEXT,32,3,4,5,4,11,1,14,3,11,0,14,5,Round 6,Split_2
TW,29,7,3,10,1,9,3,11,2,14,3,5,4,Round 6,Split_2
FAV,24,20,0,16,2,10,7,17,0,3,6,17,0,Round 6,Split_2
MTR,24,18,0,11,2,3,6,10,4,10,0,16,0,Round 6,Split_2
ORF,22,14,2,9,1,19,0,6,7,20,0,6,3,Round 6,Split_2
YOG,20,10,1,6,2,12,0,8,3,13,3,9,0,Round 6,Split_2
ALV,19,15,0,19,0,16,3,13,3,7,3,10,3,Round 6,Split_2
QF,19,6,1,20,0,4,4,15,1,16,1,15,2,Round 6,Split_2
RUG,18,17,0,7,3,13,0,18,0,5,6,11,0,Round 6,Split_2
D4RK,13,8,4,17,0,17,0,20,0,12,0,13,5,Round 6,Split_2
REAH,13,12,2,15,3,18,0,7,0,18,0,12,2,Round 6,Split_2
DAI,3,19,0,13,1,15,0,19,0,17,0,20,0,Round 6,Split_2
GW,72,3,10,2,5,7,1,2,2,11,3,1,10,Round 7,Split_2
FAK,65,19,0,1,17,12,3,10,9,18,0,3,14,Round 7,Split_2
UC,57,6,4,5,5,13,1,1,11,2,7,19,0,Round 7,Split_2
MTR,56,2,8,4,11,5,9,6,4,8,1,18,0,Round 7,Split_2
RID,55,1,8,20,0,3,3,18,0,1,9,5,0,Round 7,Split_2
RUG,43,16,0,3,2,17,1,7,5,4,12,4,3,Round 7,Split_2
LDN,42,15,0,10,6,1,8,13,1,3,2,8,0,Round 7,Split_2
Flora,40,20,0,7,1,4,11,5,6,6,5,13,1,Round 7,Split_2
RXC,38,8,6,17,0,10,2,9,4,12,1,7,15,Round 7,Split_2
LFTW,36,14,3,6,1,11,4,4,7,10,3,10,4,Round 7,Split_2
RC,34,12,2,16,0,14,2,15,4,15,6,2,7,Round 7,Split_2
QF,22,11,2,19,0,6,1,3,5,9,0,11,0,Round 7,Split_2
RIG-N,20,5,2,8,6,18,3,12,0,13,0,15,0,Round 7,Split_2
UNI,19,10,1,12,0,2,4,14,0,17,0,14,0,Round 7,Split_2
AVA,18,9,0,13,0,16,3,20,0,7,6,6,0,Round 7,Split_2
RPG,15,4,6,14,0,9,0,11,0,16,0,20,0,Round 7,Split_2
ALV,14,7,1,11,4,15,0,16,0,14,2,12,0,Round 7,Split_2
D4RK,13,13,1,9,1,8,2,19,0,20,0,9,2,Round 7,Split_2
BEXT,8,17,2,18,0,19,0,17,0,5,2,17,0,Round 7,Split_2
TW,7,18,0,15,0,20,0,8,1,19,0,16,3,Round 7,Split_2
αDR,77,3,2,10,5,1,9,4,6,5,5,1,8,Round 8,Split_2
CR,72,8,11,1,8,7,1,19,0,1,14,6,6,Round 8,Split_2
NTH,61,10,4,2,4,13,0,2,6,2,2,2,6,Round 8,Split_2
V3,55,15,2,9,5,2,9,1,13,17,0,9,0,Round 8,Split_2
RZ,49,9,2,14,0,4,8,3,4,4,5,3,3,Round 8,Split_2
FAV,43,1,8,11,1,20,0,7,1,3,6,5,0,Round 8,Split_2
FSV,42,2,17,15,2,8,4,11,1,10,3,20,0,Round 8,Split_2
GTS,37,12,1,3,6,5,6,9,0,15,0,7,6,Round 8,Split_2
USG,34,4,4,8,5,6,7,18,1,6,3,14,0,Round 8,Split_2
FL,28,18,0,7,3,14,3,14,6,20,0,10,9,Round 8,Split_2
LAG,24,17,0,18,0,3,4,12,1,14,5,4,0,Round 8,Split_2
CAG,23,7,3,12,1,10,0,5,3,12,2,15,2,Round 8,Split_2
FCD,22,16,1,5,6,19,0,10,3,9,1,16,3,Round 8,Split_2
DTN,20,13,2,13,4,15,2,15,2,7,3,18,0,Round 8,Split_2
ORF,20,5,0,4,2,9,0,17,0,16,0,8,5,Round 8,Split_2
FLCO,16,6,1,6,2,18,0,13,4,13,1,19,0,Round 8,Split_2
YOG,15,14,0,16,0,11,1,8,5,8,1,11,1,Round 8,Split_2
DAI,10,19,0,17,0,12,3,20,0,11,4,17,1,Round 8,Split_2
REAH,10,20,0,19,0,16,0,6,2,18,0,12,4,Round 8,Split_2
IGZ,5,11,0,20,0,17,0,16,3,19,0,13,0,Round 8,Split_2
αDR,96,3,2,1,15,9,1,1,6,1,7,1,8,Round 9,Split_2
RIG-N,64,1,10,3,4,3,3,18,2,7,1,3,8,Round 9,Split_2
FSV,52,15,0,16,2,1,12,8,7,16,1,4,10,Round 9,Split_2
FCD,41,19,1,13,2,8,9,5,15,19,0,7,4,Round 9,Split_2
RC,39,17,3,7,0,20,2,10,0,7,6,2,11,Round 9,Split_2
UC,39,9,3,14,1,12,0,2,3,2,10,16,0,Round 9,Split_2
LAG,38,6,1,2,1,15,0,3,5,13,2,6,5,Round 9,Split_2
RPG,38,2,3,15,7,4,1,6,0,3,2,20,0,Round 9,Split_2
FAK,37,8,13,10,5,11,5,14,0,20,0,5,4,Round 9,Split_2
REAH,34,12,1,6,4,2,5,16,2,5,4,13,0,Round 9,Split_2
GTS,28,5,10,12,3,17,0,19,0,8,7,18,1,Round 9,Split_2
RXC,27,16,1,9,3,19,2,13,3,9,10,8,1,Round 9,Split_2
LFTW,24,10,1,11,1,5,2,11,1,4,1,9,3,Round 9,Split_2
UNI,23,4,0,20,0,6,3,4,5,10,0,19,0,Round 9,Split_2
DAI,22,13,0,5,5,7,7,17,0,14,0,15,0,Round 9,Split_2
YOG,20,14,0,4,0,13,1,9,6,15,3,17,0,Round 9,Split_2
ORF,16,11,6,18,0,14,1,7,1,12,0,10,0,Round 9,Split_2
FAV,12,7,4,17,0,18,0,12,0,18,0,11,3,Round 9,Split_2
LDN,12,20,0,8,3,10,1,20,0,17,3,14,0,Round 9,Split_2
AVA,6,18,0,19,0,16,1,15,0,11,0,12,2,Round 9,Split_2
